ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,456.19,128,36.67,52184460
4096,2048,415.38,128,30.98,80373132
6144,2048,410.41,128,30.59,108561804
8192,2048,405.16,128,30.54,136750476
