ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,663.35,128,35.41,52184460
4096,2048,455.02,128,27.95,80373132
6144,2048,447.87,128,27.69,108561804
8192,2048,441.35,128,27.53,136750476
