ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,446.83,128,33.75,52184460
4096,2048,330.66,128,28.43,80373132
6144,2048,329.97,128,27.99,108561804
8192,2048,329.15,128,27.85,136750476
