ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,446.75,128,32.63,52184460
4096,2048,326.52,128,27.85,80373132
6144,2048,328.23,128,27.45,108561804
8192,2048,326.51,128,27.44,136750476
