ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,661.27,128,35.57,52184460
4096,2048,454.35,128,27.90,80373132
6144,2048,449.33,128,27.63,108561804
8192,2048,444.46,128,27.55,136750476
