ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,436.29,128,37.26,52184460
4096,2048,389.72,128,31.71,80373132
6144,2048,365.29,128,29.82,108561804
8192,2048,345.80,128,28.84,136750476
