ctx_tokens,prefill_tokens,prefill_tps,gen_tokens,gen_tps,kvcache_bytes
2048,2048,663.09,128,33.53,52184460
4096,2048,435.36,128,27.61,80373132
6144,2048,437.98,128,27.17,108561804
8192,2048,435.33,128,27.33,136750476
